Frame,Static 1,Static 2,Static 3,Static 4,Static 5,No Static 1,No Static 2,No Static 3,No Static 4,No Static 5
0,20,20,20,20,20,20,20,20,20,20
1,20,20,20,20,20,20,20,20,20,20
2,111.1803,109.0334,101.0241,109.0071,113.2455,107.8074,5.55,108.349,101.0072,108.9499
3,23.7797,11.4974,11.5515,12.4737,11.8747,11.5749,5.55,12.4326,11.3915,12.4645
4,24.883,34.5663,35.7565,29.6319,30.7691,34.5807,100.0026,36.8921,34.7898,30.2715
5,12.0141,11.7001,12.4474,11.651,11.3691,11.3675,11.1292,11.8705,11.4401,11.6594
6,7.9578,7.7078,8.7155,7.9692,10.28,8.0329,5.5602,5.5833,7.202,10.1205
7,10.6572,10.2719,15.6005,10.5278,10.0416,9.4003,33.3598,7.2654,5.5696,9.2256
8,6.9857,6.6193,5.5733,5.6745,6.6848,5.5701,16.6311,6.2066,8.8897,6.5754
9,8.672099,7.7215,7.1956,9.8853,9.5368,9.1791,5.55,9.2072,6.1501,7.8755
10,6.2947,5.9025,5.5607,5.5627,6.1581,5.55,11.1244,5.5606,9.2971,5.8894
11,8.4405,5.579,5.5713,5.5636,9.7408,5.5803,5.55,5.5987,5.5654,5.55
12,5.5657,9.8772,8.9353,8.214299,5.6169,8.4959,11.1215,8.3047,5.5619,7.5074
13,9.4793,5.5591,5.5639,5.5686,5.55,5.5639,5.55,5.5559,9.2732,5.9974
14,5.5698,9.4811,5.5678,5.5636,9.8407,5.5606,5.55,5.5804,5.5644,5.5839
15,5.55,5.5625,8.544101,7.9856,5.9567,8.272901,5.55,9.1565,5.5753,9.9718
16,9.2439,5.562,5.5559,5.5567,10.3072,5.55,5.55,5.55,9.3671,5.5644
17,5.5709,8.9032,5.5766,5.5661,5.625,6.8051,5.55,5.5702,5.7254,5.5661
18,5.5586,5.5608,8.360801,8.0455,6.7256,7.9046,5.5656,8.9984,6.5793,7.9618
19,7.8,5.5664,5.5683,5.5632,8.4768,5.5661,11.1375,5.5617,8.2472,5.5613
20,5.55,8.089601,5.5681,5.5579,5.55,5.5666,5.55,5.5627,5.5657,6.5359
21,5.5781,5.5673,8.3646,7.9289,5.7839,8.2689,5.55,8.5644,5.55,7.6172
22,9.673699,5.55,5.5636,5.5637,10.0563,5.5624,16.6512,5.5605,8.7899,5.5663
23,5.55,8.705199,5.5611,5.55,5.5608,5.5719,5.55,5.55,5.5626,5.562
24,5.5747,5.5635,8.4519,5.566,5.5667,8.3821,11.1113,9.039,5.5595,8.753201
25,9.4422,5.5566,5.55,8.4756,8.0375,5.55,5.55,5.5651,8.627999,5.5564
26,5.5662,8.7868,5.5694,5.6002,5.5679,5.6517,5.55,5.5641,5.55,5.5731
27,5.587,5.7561,10.1197,5.5747,5.5656,8.5443,11.1208,8.3673,17.8406,8.9093
